,st_cty_code,county,state,cases
453,13117,Forsyth County,GA,1
454,13119,Franklin County,GA,0
455,13121,Fulton County,GA,0
456,13123,Gilmer County,GA,0
457,13125,Glascock County,GA,0
458,13127,Glynn County,GA,0
459,13129,Gordon County,GA,0
460,13131,Grady County,GA,0
461,13133,Greene County,GA,0
462,13135,Gwinnett County,GA,2
463,13137,Habersham County,GA,0
464,13139,Hall County,GA,1
465,13141,Hancock County,GA,0
466,13143,Haralson County,GA,0
467,13145,Harris County,GA,0
468,13147,Hart County,GA,0
469,13149,Heard County,GA,0
470,13151,Henry County,GA,0
471,13153,Houston County,GA,0
472,13155,Irwin County,GA,0
473,13157,Jackson County,GA,0
474,13159,Jasper County,GA,0
475,13161,Jeff Davis County,GA,0
476,13163,Jefferson County,GA,0
477,13165,Jenkins County,GA,0
478,13167,Johnson County,GA,0
479,13169,Jones County,GA,0
480,13171,Lamar County,GA,0
481,13173,Lanier County,GA,0
482,13175,Laurens County,GA,2
483,13177,Lee County,GA,0
484,13179,Liberty County,GA,0
485,13181,Lincoln County,GA,0
486,13183,Long County,GA,0
487,13185,Lowndes County,GA,0
488,13187,Lumpkin County,GA,0
489,13189,McDuffie County,GA,0
490,13191,McIntosh County,GA,0
491,13193,Macon County,GA,0
492,13195,Madison County,GA,0
493,13197,Marion County,GA,0
494,13199,Meriwether County,GA,0
495,13201,Miller County,GA,0
496,13205,Mitchell County,GA,0
497,13207,Monroe County,GA,0
498,13209,Montgomery County,GA,0
499,13211,Morgan County,GA,0
500,13213,Murray County,GA,0
501,13215,Muscogee County,GA,1
502,13217,Newton County,GA,1
503,13219,Oconee County,GA,0
504,13221,Oglethorpe County,GA,0
505,13223,Paulding County,GA,1
506,13225,Peach County,GA,0
507,13227,Pickens County,GA,1
508,13229,Pierce County,GA,0
509,13231,Pike County,GA,0
510,13233,Polk County,GA,0
511,13235,Pulaski County,GA,0
512,13237,Putnam County,GA,0
513,13239,Quitman County,GA,0
514,13241,Rabun County,GA,0
515,13243,Randolph County,GA,0
516,13245,Richmond County,GA,0
517,13247,Rockdale County,GA,0
518,13249,Schley County,GA,0
519,13251,Screven County,GA,0
520,13253,Seminole County,GA,0
521,13255,Spalding County,GA,1
522,13257,Stephens County,GA,0
523,13259,Stewart County,GA,0
524,13261,Sumter County,GA,1
525,13263,Talbot County,GA,0
526,13265,Taliaferro County,GA,0
527,13267,Tattnall County,GA,0
528,13269,Taylor County,GA,0
529,13271,Telfair County,GA,0
530,13273,Terrell County,GA,0
531,13275,Thomas County,GA,0
532,13277,Tift County,GA,0
533,13279,Toombs County,GA,0
534,13281,Towns County,GA,0
